model_type,colors_used,num_train_samples,epochs,batch_size,train_time_sec,test_loss,test_accuracy,epoch_90_accuracy,epoch_95_accuracy
FFNN,"G,RB",900,200,20,17.63600492477417,0.1057224422693252,0.9375,,
FFNN,"G,RB",1500,200,20,23.44052243232727,0.075196698307991,1.0,,
FFNN,"G,GB",300,200,20,12.013631105422974,0.3211634755134582,1.0,,
FFNN,"G,GB",600,200,20,14.48347783088684,0.2212086617946624,1.0,,
FFNN,"G,GB",900,200,20,17.539560317993164,0.3843361139297485,0.875,,
FFNN,"G,GB",1500,200,20,23.7978458404541,0.3242567777633667,0.75,,
FFNN,"B,RG",300,200,20,12.348740577697754,0.2120083570480346,0.8125,,
FFNN,"B,RG",600,200,20,14.503422737121582,0.1735025197267532,0.875,,
FFNN,"B,RG",900,200,20,18.045324325561523,0.0860121548175811,1.0,,
FFNN,"B,RG",1500,200,20,22.877947330474854,0.0432196743786335,1.0,,
FFNN,"B,RB",300,200,20,12.037834882736206,0.1243879497051239,1.0,,
FFNN,"B,RB",600,200,20,14.372209548950195,0.1927994787693023,0.875,,
FFNN,"B,RB",900,200,20,17.617254734039307,0.1316219270229339,0.9375,,
FFNN,"B,RB",1500,200,20,23.390767574310303,0.2438553422689438,0.8125,,
FFNN,"B,GB",300,200,20,11.852076292037964,0.3121207952499389,0.875,,
FFNN,"B,GB",600,200,20,14.335679292678831,0.1223462373018264,0.9375,,
FFNN,"B,GB",900,200,20,18.47822666168213,0.2108296602964401,0.875,,
FFNN,"B,GB",1500,200,20,24.667888402938843,0.0440961867570877,1.0,,
FFNN,"RG,RB",300,200,20,12.535878658294678,0.32709601521492,0.875,,
FFNN,"RG,RB",600,200,20,15.485122680664062,0.2133782356977462,0.8125,,
FFNN,"RG,RB",900,200,20,17.83349347114563,0.2026479840278625,0.875,,
FFNN,"RG,RB",1500,200,20,23.125225067138672,0.2943856716156006,0.8125,,
FFNN,"RG,GB",300,200,20,11.769651651382446,0.1257044225931167,0.9375,,
FFNN,"RG,GB",600,200,20,14.332319974899292,0.2010322511196136,0.875,,
FFNN,"RG,GB",900,200,20,17.420660495758057,0.1730438768863678,0.9375,,
FFNN,"RG,GB",1500,200,20,22.52129983901977,0.1037552654743194,0.9375,,
FFNN,"RB,GB",300,200,20,11.698389768600464,0.5540592670440674,0.8125,,
FFNN,"RB,GB",600,200,20,14.734475374221802,0.2062250971794128,0.9375,,
FFNN,"RB,GB",900,200,20,19.39817190170288,0.642109751701355,0.8125,,
FFNN,"RB,GB",1500,200,20,24.758597135543823,0.1676446795463562,0.9375,,
FFNN,"R,G,B",300,200,20,12.329276084899902,0.4926744103431701,0.8125,,
FFNN,"R,G,B",600,200,20,17.513232707977295,0.231305718421936,0.875,,
FFNN,"R,G,B",900,200,20,26.566182374954224,0.1821821630001068,0.9375,,
FFNN,"R,G,B",1500,200,20,39.14055562019348,0.040799107402563,1.0,,
FFNN,"R,G,RG",300,200,20,17.014354467391968,0.124802142381668,1.0,,
FFNN,"R,G,RG",600,200,20,18.400283336639404,0.0546650104224681,1.0,,
FFNN,"R,G,RG",900,200,20,22.000004529953003,0.0559331476688385,1.0,,
FFNN,"R,G,RG",1500,200,20,26.441242694854736,0.0845160633325576,0.9375,,
FFNN,"R,G,RB",300,200,20,13.354272842407228,0.0946630090475082,1.0,,
FFNN,"R,G,RB",600,200,20,17.032334089279175,0.057489339262247,1.0,,
FFNN,"R,G,RB",900,200,20,20.62256407737732,0.1039431244134903,0.9375,,
FFNN,"R,G,RB",1500,200,20,27.18917465209961,0.0328450165688991,1.0,,
FFNN,"R,G,GB",300,200,20,14.235517263412476,0.0667330622673034,1.0,,
FFNN,"R,G,GB",600,200,20,17.34814953804016,0.1988555788993835,0.875,,
FFNN,"R,G,GB",900,200,20,20.958610773086548,0.5780829191207886,0.875,,
FFNN,"R,G,GB",1500,200,20,26.915366888046265,0.0226226150989532,1.0,,
FFNN,"R,B,RG",300,200,20,13.88065218925476,0.080695241689682,1.0,,
FFNN,"R,B,RG",600,200,20,17.135895252227783,0.0609151273965835,1.0,,
FFNN,"R,B,RG",900,200,20,20.273229837417603,0.0435522869229316,1.0,,
FFNN,"R,B,RG",1500,200,20,27.00882625579834,0.0519269779324531,1.0,,
FFNN,"R,B,RB",300,200,20,13.661725044250488,0.1979842185974121,0.875,,
FFNN,"R,B,RB",600,200,20,17.91739821434021,0.1180665493011474,0.9375,,
FFNN,"R,B,RB",900,200,20,27.25267004966736,0.1704499274492263,0.9375,,
FFNN,"R,B,RB",1500,200,20,45.26349258422852,0.2270984351634979,0.9375,,
FFNN,"R,B,GB",300,200,20,20.87933826446533,0.1034296303987503,0.9375,,
FFNN,"R,B,GB",600,200,20,25.324154138565063,0.1510220170021057,0.9375,,
FFNN,"R,B,GB",900,200,20,20.63042497634888,0.0383070707321167,1.0,,
FFNN,"R,B,GB",1500,200,20,27.83141207695008,0.0612011179327964,0.9375,,
FFNN,"R,RG,RB",300,200,20,15.81778621673584,0.2758411765098572,0.8125,,
FFNN,"R,RG,RB",600,200,20,19.7889051437378,0.1653050631284713,0.9375,,
FFNN,"R,RG,RB",900,200,20,22.06719994544983,0.0479530170559883,1.0,,
FFNN,"R,RG,RB",1500,200,20,29.281587600708008,0.0216170400381088,1.0,,
FFNN,"R,RG,GB",300,200,20,14.264528751373293,0.0290550738573074,1.0,,
FFNN,"R,RG,GB",600,200,20,17.722383975982666,0.0212091971188783,1.0,,
FFNN,"R,RG,GB",900,200,20,20.477092504501343,0.0013449465623125,1.0,,
FFNN,"R,RG,GB",1500,200,20,26.99470019340515,0.0012376538943499,1.0,,
FFNN,"R,RB,GB",300,200,20,14.652801513671877,0.3655483424663543,0.875,,
FFNN,"R,RB,GB",600,200,20,18.32095003128052,0.0753586143255233,1.0,,
FFNN,"R,RB,GB",900,200,20,20.1914610862732,0.1596828401088714,0.9375,,
FFNN,"R,RB,GB",1500,200,20,26.839811086654663,0.0227642003446817,1.0,,
FFNN,"G,B,RG",300,200,20,13.936672925949097,0.2593007683753967,0.8125,,
FFNN,"G,B,RG",600,200,20,16.650202989578247,0.1971864700317382,0.875,,
FFNN,"G,B,RG",900,200,20,20.32749080657959,0.2085333615541458,0.9375,,
FFNN,"G,B,RG",1500,200,20,26.769832372665405,0.0123645737767219,1.0,,
FFNN,"G,B,RB",300,200,20,13.722355365753174,0.1413301676511764,0.9375,,
FFNN,"G,B,RB",600,200,20,16.874737977981567,0.0600416176021099,1.0,,
FFNN,"G,B,RB",900,200,20,20.806257247924805,0.0382731109857559,1.0,,
FFNN,"G,B,RB",1500,200,20,26.84215903282165,0.0292056258767843,1.0,,
FFNN,"G,B,GB",300,200,20,13.92790699005127,0.2152387648820877,0.875,,
FFNN,"G,B,GB",600,200,20,16.87030839920044,0.021123981103301,1.0,,
FFNN,"G,B,GB",900,200,20,20.75334668159485,0.0026311348192393,1.0,,
FFNN,"G,B,GB",1500,200,20,26.92784881591797,0.006225271616131,1.0,,
FFNN,"G,RG,RB",300,200,20,14.28532648086548,0.0993811786174774,1.0,,
