timestamp,num_hidden_layers,neurons_per_layer,epochs,batch_size,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,training_time_sec,epoch_90_accuracy,epoch_95_accuracy
2024-12-03 17:27:37,1,500,50,20,0.0004053133598063,1.0,0.2520983517169952,0.9461538195610046,0.4714575111865997,0.949999988079071,41.43607044219971,4,44
2024-12-03 17:28:14,1,500,50,50,0.001541139325127,1.0,0.3104077279567718,0.9399999976158142,0.6619239449501038,0.8866666555404663,36.30865025520325,7,36
2024-12-03 17:29:26,1,500,50,100,0.0216292180120944,0.9949874877929688,0.2581217885017395,0.9449999928474426,0.430411696434021,0.9100000262260436,37.90693998336792,12,27
2024-12-03 17:29:56,1,500,75,20,0.0001471314026275,1.0,0.3227972388267517,0.949999988079071,0.6063248515129089,0.9166666865348816,67.81928968429565,5,14
2024-12-03 17:30:24,1,500,75,50,0.0006225930992513,1.0,0.3658884465694427,0.9399999976158142,1.0007444620132446,0.8933333158493042,56.69746112823486,9,32
2024-12-03 17:30:51,1,500,75,100,0.0019847534131258,1.0,0.2771294713020324,0.9350000023841858,0.6104384660720825,0.8799999952316284,53.87625312805176,11,30
2024-12-03 17:31:57,1,500,100,20,7.733708480373025e-05,1.0,0.3805659115314483,0.9461538195610046,0.710807740688324,0.905555546283722,92.3235809803009,5,98
2024-12-03 17:32:12,1,500,100,50,0.0002414687623968,1.0,0.2415671795606613,0.9399999976158142,0.7012437582015991,0.9066666960716248,80.19959878921509,5,31
2024-12-03 17:33:17,1,500,100,100,0.0016958635533228,1.0,0.4631607830524444,0.9300000071525574,1.2388432025909424,0.8199999928474426,80.01616764068604,11,32
2024-12-03 17:34:14,1,500,125,20,0.0013623599661514,1.0,0.3265400826931,0.9384615421295166,0.5662452578544617,0.894444465637207,121.62473034858704,6,88
2024-12-03 17:34:53,1,500,125,50,0.0001292472879868,1.0,0.3345082104206085,0.9399999976158142,0.6953111886978149,0.8933333158493042,94.97852373123168,8,24
2024-12-03 17:35:40,1,700,50,20,0.0003255720657762,1.0,0.3209500312805176,0.942307710647583,0.7617278099060059,0.894444465637207,45.834792375564575,11,55
2024-12-03 17:35:40,1,500,125,100,0.0004201447009108,1.0,0.3607984185218811,0.9399999976158142,0.7357572913169861,0.8700000047683716,85.98159956932068,5,43
2024-12-03 17:36:16,1,700,50,100,0.0069043426774442,1.0,0.1984461992979049,0.9549999833106996,0.5770233273506165,0.8799999952316284,35.62485361099243,9,18
2024-12-03 17:36:18,1,700,50,50,0.0037226527929306,1.0,0.2707861065864563,0.9480000138282776,0.6962032318115234,0.8999999761581421,37.594319581985474,10,33
2024-12-03 17:37:15,1,700,75,50,0.0004272389924153,1.0,0.3375906944274902,0.9559999704360962,0.6013853549957275,0.8933333158493042,56.59545922279358,6,67
2024-12-03 17:37:22,1,700,75,20,0.0001277056726394,1.0,0.3656022548675537,0.942307710647583,0.6439634561538696,0.9111111164093018,64.71180534362793,7,19
2024-12-03 17:38:05,1,700,75,100,0.0040343753062188,1.0,0.294277012348175,0.9399999976158142,0.744342565536499,0.9100000262260436,49.91612935066223,13,44
2024-12-03 17:38:36,1,700,100,20,4.812070255866274e-05,1.0,0.262997955083847,0.949999988079071,0.5839246511459351,0.9333333373069764,74.2946400642395,4,18
2024-12-03 17:39:13,1,700,100,50,0.0007833634736016,1.0,0.3783839344978332,0.9480000138282776,0.8020526170730591,0.8600000143051147,67.09092307090759,10,68
2024-12-03 17:39:44,1,700,100,100,0.0037935057189315,0.9987468719482422,0.4452149271965027,0.9200000166893004,0.6271939277648926,0.8799999952316284,66.6952850818634,13,42
2024-12-03 17:40:48,1,700,125,20,1.7346152162645012e-05,1.0,0.2643289566040039,0.9538461565971376,0.557792603969574,0.9222221970558168,95.06900191307068,6,18
2024-12-03 17:41:13,1,700,125,50,0.0001148857772932,1.0,0.3535770773887634,0.9399999976158142,0.9083650708198548,0.8666666746139526,89.17594027519226,10,32
2024-12-03 17:41:54,1,900,50,20,0.000135056223371,1.0,0.2500135898590088,0.9538461565971376,0.5400180816650391,0.9111111164093018,40.2923150062561,11,104
2024-12-03 17:42:03,1,700,125,100,0.000457685731817,1.0,0.49482062458992,0.9200000166893004,0.5451654195785522,0.9100000262260436,74.04471325874329,4,23
2024-12-03 17:42:28,1,900,50,50,0.0051293247379362,1.0,0.2587915360927582,0.9480000138282776,0.5524677634239197,0.9133333563804626,33.10642981529236,8,17
2024-12-03 17:42:34,1,900,50,100,0.0084344716742634,1.0,0.1997765749692917,0.9350000023841858,0.5564974546432495,0.8799999952316284,30.6558141708374,14,
2024-12-03 17:43:23,1,900,75,50,0.0002901279367506,1.0,0.2362755089998245,0.944000005722046,0.745971143245697,0.8799999952316284,48.7781400680542,4,6
2024-12-03 17:43:27,1,900,75,20,6.236781337065622e-05,1.0,0.3217558860778808,0.9307692050933838,0.5280661582946777,0.9277777671813964,58.30501174926758,6,25
2024-12-03 17:44:08,1,900,75,100,0.0031169871799647,1.0,0.4509198665618896,0.9399999976158142,0.8750787377357483,0.8799999952316284,44.78100109100342,14,
2024-12-03 17:44:43,1,900,100,20,2.227296317869332e-05,1.0,0.5063377618789673,0.9269230961799622,0.8927587866783142,0.8833333253860474,76.28101563453674,8,
2024-12-03 17:45:13,1,900,100,50,0.0975378081202507,0.9716981053352356,0.4877295196056366,0.9120000004768372,0.8223816156387329,0.8266666531562805,63.88462066650391,8,24
