epoch,loss,accuracy,val_loss,val_accuracy
1,2.085073947906494,0.11500000208616257,2.0742366313934326,0.125
2,2.0539727210998535,0.2083333283662796,1.9528546333312988,0.375
3,1.7567425966262817,0.27000001072883606,1.2820630073547363,0.4583333432674408
4,1.3903497457504272,0.37166666984558105,0.9589040279388428,0.625
5,1.1529123783111572,0.4833333194255829,0.8649125695228577,0.5416666865348816
6,0.9298171997070312,0.5849999785423279,0.6297023892402649,0.75
7,0.6911181211471558,0.7133333086967468,0.3214687407016754,0.8333333134651184
8,0.5287204384803772,0.7866666913032532,0.2752072811126709,0.7916666865348816
9,0.4265708029270172,0.8100000023841858,0.3288750946521759,0.8333333134651184
10,0.4220506250858307,0.82833331823349,0.24068333208560944,0.8333333134651184
11,0.34565386176109314,0.8683333396911621,0.1232149600982666,0.9166666865348816
12,0.27870386838912964,0.8966666460037231,0.1089775487780571,1.0
13,0.19021886587142944,0.9283333420753479,0.015757260844111443,1.0
14,0.2042030543088913,0.925000011920929,0.05771918222308159,1.0
15,0.2184961438179016,0.9133333563804626,0.056030575186014175,0.9583333134651184
16,0.15808704495429993,0.9483333230018616,0.004162563011050224,1.0
17,0.14466141164302826,0.9549999833106995,0.03498528525233269,1.0
18,0.15301086008548737,0.9383333325386047,0.0033300307113677263,1.0
19,0.11755901575088501,0.9616666436195374,0.0042760190553963184,1.0
20,0.10552294552326202,0.9599999785423279,0.004373177420347929,1.0
21,0.11172232031822205,0.9649999737739563,0.0059362915344536304,1.0
22,0.11682193726301193,0.9700000286102295,0.0032662481535226107,1.0
23,0.130705326795578,0.9566666483879089,0.0034270938485860825,1.0
24,0.08507171273231506,0.971666693687439,0.03385918214917183,1.0
25,0.12809710204601288,0.9466666579246521,0.004198428709059954,1.0
26,0.08908814191818237,0.9616666436195374,0.0008781841024756432,1.0
27,0.0832943469285965,0.9649999737739563,0.0073935058899223804,1.0
28,0.1631873995065689,0.95333331823349,0.05283014476299286,0.9583333134651184
29,0.11678096652030945,0.9616666436195374,0.003905191784724593,1.0
30,0.07543495297431946,0.9666666388511658,0.0012964294292032719,1.0
31,0.08149765431880951,0.9683333039283752,0.0005360304494388402,1.0
32,0.0917777270078659,0.9649999737739563,0.0022755421232432127,1.0
33,0.10310269147157669,0.9666666388511658,0.05972085893154144,0.9583333134651184
34,0.09327796846628189,0.9649999737739563,0.0018959847511723638,1.0
35,0.1260339915752411,0.9633333086967468,0.0007154016639105976,1.0
36,0.06819038093090057,0.9666666388511658,0.0037529871333390474,1.0
37,0.13363704085350037,0.9483333230018616,0.0034935541916638613,1.0
38,0.07160338759422302,0.9733333587646484,0.000541148183401674,1.0
39,0.06772495061159134,0.9800000190734863,0.003974881488829851,1.0
40,0.08150579035282135,0.9733333587646484,0.001492045819759369,1.0
41,0.057931866496801376,0.9833333492279053,0.0006409420748241246,1.0
42,0.09109416604042053,0.9599999785423279,0.0012844557641074061,1.0
43,0.06847157329320908,0.971666693687439,0.004530687816441059,1.0
44,0.05529138073325157,0.9800000190734863,0.00020162209693808109,1.0
45,0.1672569215297699,0.9466666579246521,0.0178707093000412,1.0
46,0.1920136958360672,0.9333333373069763,0.032116446644067764,1.0
47,0.09381508827209473,0.9683333039283752,0.0008877418003976345,1.0
48,0.07630493491888046,0.9733333587646484,0.0018500806763768196,1.0
49,0.05974622070789337,0.9816666841506958,0.0005380376824177802,1.0
50,0.05560232326388359,0.9850000143051147,0.003089016303420067,1.0
51,0.06235561519861221,0.9750000238418579,0.0002950064663309604,1.0
52,0.045161474496126175,0.9883333444595337,1.1438358342275023e-05,1.0
53,0.0549091100692749,0.9816666841506958,4.4913700548931956e-05,1.0
54,0.050980232656002045,0.9833333492279053,0.0002743506629485637,1.0
55,0.03705085813999176,0.9900000095367432,7.65111981309019e-05,1.0
56,0.06817401945590973,0.9666666388511658,1.7159185517812148e-05,1.0
57,0.0699593722820282,0.9766666889190674,0.00017351943824905902,1.0
58,0.040633127093315125,0.9850000143051147,5.4994248785078526e-05,1.0
59,0.032128553837537766,0.9866666793823242,2.3045105990604497e-05,1.0
60,0.046901676803827286,0.9833333492279053,0.000744953693356365,1.0
61,0.046552874147892,0.9850000143051147,0.002196146408095956,1.0
62,0.03427501395344734,0.9900000095367432,0.00012166338274255395,1.0
63,0.060611508786678314,0.9850000143051147,3.1190033041639253e-05,1.0
64,0.050816334784030914,0.9833333492279053,0.00033780504600144923,1.0
65,0.01956142671406269,0.9916666746139526,1.772886753315106e-05,1.0
66,0.034702982753515244,0.9883333444595337,0.00309743988327682,1.0
67,0.04954320564866066,0.9833333492279053,0.0010928360279649496,1.0
68,0.04063862934708595,0.9866666793823242,1.6925410818657838e-05,1.0
69,0.0321701243519783,0.9900000095367432,0.00046029590885154903,1.0
70,0.02579905278980732,0.9933333396911621,4.713564067060361e-06,1.0
71,0.025727441534399986,0.9883333444595337,4.70851091449731e-06,1.0
72,0.05775411054491997,0.9800000190734863,0.12178530544042587,0.9583333134651184
73,0.10057729482650757,0.9616666436195374,0.0005971878417767584,1.0
74,0.048338405787944794,0.9850000143051147,0.0003494253905955702,1.0
75,0.04472299665212631,0.9866666793823242,0.0007986321579664946,1.0
76,0.03206879645586014,0.9900000095367432,0.0033060619607567787,1.0
77,0.04167697951197624,0.9883333444595337,0.003086791140958667,1.0
78,0.03019963577389717,0.9933333396911621,0.000732707732822746,1.0
79,0.03211870789527893,0.9883333444595337,0.00021632200514432043,1.0
80,0.021388240158557892,0.9950000047683716,8.490134496241808e-05,1.0
81,0.03046228736639023,0.9883333444595337,3.1489983030041913e-06,1.0
82,0.03671575337648392,0.9850000143051147,0.005257961805909872,1.0
83,0.0222479160875082,0.9933333396911621,0.0006925406050868332,1.0
84,0.0396418422460556,0.9833333492279053,0.009879215620458126,1.0
85,0.04321706295013428,0.9800000190734863,8.445334970019758e-05,1.0
86,0.0598018504679203,0.9800000190734863,2.1727819330408238e-05,1.0
87,0.03439173474907875,0.9833333492279053,4.5728287659585476e-05,1.0
88,0.07578041404485703,0.971666693687439,0.0002620896848384291,1.0
89,0.10443434119224548,0.9616666436195374,0.0006785504519939423,1.0
90,0.05578059330582619,0.9750000238418579,0.00013716098328586668,1.0
91,0.07905760407447815,0.9700000286102295,0.00023665341723244637,1.0
92,0.05782214552164078,0.9866666793823242,5.726686595153296e-06,1.0
93,0.05584725737571716,0.9816666841506958,0.011126196943223476,1.0
94,0.028838615864515305,0.9916666746139526,0.00014018360525369644,1.0
95,0.035896942019462585,0.9900000095367432,1.8329590602661483e-05,1.0
96,0.025606226176023483,0.9916666746139526,0.0005122446455061436,1.0
97,0.08623504638671875,0.9766666889190674,0.002206717850640416,1.0
98,0.04988662526011467,0.9850000143051147,0.0007793530239723623,1.0
99,0.02981140837073326,0.9883333444595337,0.0003561913035809994,1.0
100,0.07109220325946808,0.9783333539962769,0.011765334755182266,1.0
