epoch,loss,accuracy,val_loss,val_accuracy
1,2.0852134227752686,0.12837837636470795,2.0769670009613037,0.125
2,2.0770583152770996,0.14189189672470093,2.0734355449676514,0.125
3,2.068775177001953,0.1689189225435257,2.0569770336151123,0.2083333283662796
4,2.0305793285369873,0.20945945382118225,1.9618067741394043,0.3333333432674408
5,1.8331053256988525,0.2939189076423645,1.5369266271591187,0.625
6,1.4717854261398315,0.40878379344940186,1.0620216131210327,0.7083333134651184
7,1.1815924644470215,0.5033783912658691,0.7531563639640808,0.75
8,0.9979124069213867,0.5608108043670654,0.7234331965446472,0.7083333134651184
9,0.9421653747558594,0.5979729890823364,0.6558756828308105,0.75
10,0.8611941337585449,0.5844594836235046,0.655760645866394,0.7083333134651184
11,0.8837139010429382,0.6013513803482056,0.7297318577766418,0.7083333134651184
12,0.7638867497444153,0.6824324131011963,0.5148089528083801,0.8333333134651184
13,0.8476734757423401,0.6081081032752991,0.8855635523796082,0.5416666865348816
14,0.8256969451904297,0.6317567825317383,0.5922074317932129,0.75
15,0.7541990876197815,0.6756756901741028,0.6227457523345947,0.6666666865348816
16,0.6983953714370728,0.7060810923576355,0.6705566048622131,0.6666666865348816
17,0.7876833081245422,0.662162184715271,0.537586510181427,0.75
18,0.6806108951568604,0.712837815284729,0.78628009557724,0.625
19,0.6811686754226685,0.7195945978164673,0.5130231380462646,0.7916666865348816
20,0.701525092124939,0.6689189076423645,0.554513692855835,0.75
21,0.6605755686759949,0.7027027010917664,0.5698935389518738,0.7916666865348816
22,0.6274576783180237,0.7331081032752991,0.5611646771430969,0.8333333134651184
23,0.6021254658699036,0.7297297120094299,1.0920451879501343,0.5833333134651184
24,0.7488630414009094,0.6554054021835327,0.5289396643638611,0.75
25,0.6767276525497437,0.6689189076423645,0.533935010433197,0.75
26,0.6476942896842957,0.6993243098258972,0.6046463251113892,0.7916666865348816
27,0.591731071472168,0.7331081032752991,0.5549415946006775,0.8333333134651184
28,0.6423713564872742,0.7027027010917664,0.4232989549636841,0.7916666865348816
29,0.5844846963882446,0.7736486196517944,0.5763336420059204,0.75
30,0.607288122177124,0.7432432174682617,0.6130792498588562,0.75
31,0.6900419592857361,0.712837815284729,0.5083851218223572,0.7916666865348816
32,0.6338615417480469,0.7432432174682617,0.6204975247383118,0.7083333134651184
33,0.5833478569984436,0.7533783912658691,0.4667372703552246,0.7083333134651184
34,0.5851443409919739,0.7466216087341309,0.7645606994628906,0.6666666865348816
35,0.6258060336112976,0.7195945978164673,0.6773357391357422,0.7083333134651184
36,0.6082943677902222,0.7195945978164673,0.5910118222236633,0.7083333134651184
37,0.5303491353988647,0.7668918967247009,0.5958852767944336,0.75
38,0.5608121752738953,0.7567567825317383,0.5391990542411804,0.75
39,0.5748472213745117,0.7432432174682617,0.52274090051651,0.7916666865348816
40,0.5830767154693604,0.7601351141929626,0.4650082290172577,0.7916666865348816
41,0.5748037099838257,0.7094594836235046,0.5460444092750549,0.75
42,0.5111149549484253,0.8074324131011963,0.6946807503700256,0.75
43,0.5431095361709595,0.7398648858070374,0.8798525333404541,0.625
44,0.6033036708831787,0.7567567825317383,0.5090717077255249,0.7916666865348816
45,0.519752025604248,0.7770270109176636,0.550627589225769,0.75
46,0.5513734817504883,0.75,0.6100907325744629,0.75
47,0.5547626614570618,0.7601351141929626,0.5902019739151001,0.7083333134651184
48,0.5106748938560486,0.7837837934494019,0.6423284411430359,0.6666666865348816
49,0.5050984621047974,0.7297297120094299,0.5014247894287109,0.7083333134651184
50,0.5220651626586914,0.7837837934494019,0.5835645794868469,0.7083333134651184
51,0.46528497338294983,0.7972972989082336,0.5472192764282227,0.75
52,0.48867082595825195,0.7702702879905701,0.7268769145011902,0.6666666865348816
53,0.5308828353881836,0.7601351141929626,0.5748249292373657,0.75
