epoch,loss,accuracy,val_loss,val_accuracy
1,2.0911614894866943,0.12834224104881287,2.0645205974578857,0.1666666716337204
2,2.043696165084839,0.2139037400484085,2.021833658218384,0.25
3,1.997973084449768,0.31617647409439087,1.967534065246582,0.5
4,1.933671474456787,0.4364973306655884,1.8864554166793823,0.625
5,1.8372515439987183,0.4625668525695801,1.7590409517288208,0.625
6,1.7066951990127563,0.518048107624054,1.5985163450241089,0.7083333134651184
7,1.5651421546936035,0.5334224700927734,1.433463454246521,0.7916666865348816
8,1.4241077899932861,0.5594919919967651,1.2783085107803345,0.875
9,1.2830822467803955,0.6042780876159668,1.1477292776107788,0.9166666865348816
10,1.1558245420455933,0.625,1.0241652727127075,0.8333333134651184
11,1.046124815940857,0.6717914342880249,0.9294717907905579,0.9166666865348816
12,0.9729158878326416,0.6844919919967651,0.8370306491851807,0.875
13,0.9057246446609497,0.7052139043807983,0.7594557404518127,0.875
14,0.8370264172554016,0.7159090638160706,0.6903913021087646,0.9166666865348816
15,0.796491801738739,0.7326202988624573,0.6325454115867615,0.8333333134651184
16,0.7331405878067017,0.7513368725776672,0.5814542174339294,0.8333333134651184
17,0.7014467120170593,0.7566844820976257,0.5293919444084167,0.875
18,0.653791069984436,0.7700534462928772,0.49727845191955566,0.9166666865348816
19,0.619599461555481,0.7914438247680664,0.45650944113731384,0.8333333134651184
20,0.5833877921104431,0.8001337051391602,0.42927074432373047,0.875
21,0.5552389025688171,0.8175133466720581,0.40465378761291504,0.9166666865348816
22,0.5520040988922119,0.7961229681968689,0.3905286490917206,0.8333333134651184
23,0.5032751560211182,0.8348930478096008,0.3609180152416229,0.9166666865348816
24,0.4988555908203125,0.8362299203872681,0.35023626685142517,0.875
25,0.47529903054237366,0.8308823704719543,0.3360251486301422,0.875
26,0.4633568823337555,0.8402406573295593,0.32040372490882874,0.875
27,0.45527923107147217,0.8328877091407776,0.3167680501937866,0.875
28,0.44475966691970825,0.8489304780960083,0.2978065311908722,0.9166666865348816
29,0.4039517641067505,0.8596256971359253,0.2934039235115051,0.875
30,0.4132523834705353,0.8449198007583618,0.27712464332580566,0.9166666865348816
31,0.4008134603500366,0.8629679083824158,0.27056458592414856,0.875
32,0.3966643512248993,0.8522727489471436,0.2663092017173767,0.875
33,0.3775814175605774,0.8736631274223328,0.257917195558548,0.9166666865348816
34,0.36718815565109253,0.8723261952400208,0.2484658807516098,0.9166666865348816
35,0.36970221996307373,0.8770053386688232,0.24425406754016876,0.9166666865348816
36,0.36411792039871216,0.874331533908844,0.23846067488193512,0.875
37,0.35186976194381714,0.8763368725776672,0.2358144074678421,0.9166666865348816
38,0.3346204161643982,0.8883689641952515,0.22772817313671112,0.9166666865348816
39,0.32917138934135437,0.8897058963775635,0.22168970108032227,0.9166666865348816
40,0.33472535014152527,0.883689820766449,0.2314595729112625,0.875
41,0.3340064287185669,0.8763368725776672,0.2167527675628662,0.9583333134651184
42,0.3159913718700409,0.8877005577087402,0.20857572555541992,0.9583333134651184
43,0.31663978099823,0.8863636255264282,0.20670926570892334,0.9583333134651184
44,0.3085097074508667,0.8957219123840332,0.20068411529064178,0.9166666865348816
45,0.3206900656223297,0.884358286857605,0.19768483936786652,0.9583333134651184
46,0.3127109408378601,0.885026752948761,0.19941715896129608,0.9583333134651184
47,0.29126113653182983,0.9004010558128357,0.2048085480928421,0.9166666865348816
48,0.30441442131996155,0.8863636255264282,0.18458133935928345,0.9583333134651184
49,0.28718358278274536,0.9010695219039917,0.1873694807291031,0.9583333134651184
50,0.2925679385662079,0.8963903784751892,0.19209091365337372,0.9166666865348816
51,0.28294262290000916,0.903743326663971,0.2092236876487732,0.875
52,0.2725938856601715,0.9004010558128357,0.18220269680023193,0.9166666865348816
53,0.2943914830684662,0.8977272510528564,0.17395275831222534,0.9583333134651184
54,0.2584019601345062,0.9171122908592224,0.1752307265996933,0.9583333134651184
55,0.2673763334751129,0.9097593426704407,0.20151157677173615,0.875
56,0.2808150053024292,0.8997326493263245,0.17042601108551025,0.9166666865348816
57,0.25990015268325806,0.9090909361839294,0.16589970886707306,1.0
58,0.259524941444397,0.904411792755127,0.16110752522945404,1.0
59,0.2452814280986786,0.9097593426704407,0.17543280124664307,0.875
60,0.26284682750701904,0.9070855379104614,0.15471039712429047,1.0
61,0.2427876591682434,0.9137700796127319,0.14810656011104584,1.0
62,0.2531234920024872,0.9104278087615967,0.15445566177368164,1.0
63,0.2750348448753357,0.8970588445663452,0.1594402939081192,0.9166666865348816
64,0.24496209621429443,0.9191176295280457,0.17765255272388458,0.875
65,0.24963849782943726,0.9117646813392639,0.1434478461742401,1.0
66,0.24380747973918915,0.9164438247680664,0.14309293031692505,1.0
67,0.24535296857357025,0.9084224700927734,0.14144223928451538,1.0
68,0.2215714305639267,0.9204545617103577,0.13973064720630646,1.0
69,0.24016547203063965,0.9204545617103577,0.14045576751232147,0.9166666865348816
70,0.2349129170179367,0.9144384860992432,0.14026133716106415,1.0
71,0.22875651717185974,0.9157754182815552,0.13592670857906342,1.0
72,0.24206751585006714,0.9104278087615967,0.12925349175930023,1.0
73,0.24001091718673706,0.9164438247680664,0.12722322344779968,1.0
74,0.23999442160129547,0.9097593426704407,0.13932214677333832,1.0
75,0.22535766661167145,0.9151069521903992,0.11958649009466171,1.0
76,0.21254730224609375,0.9164438247680664,0.13368962705135345,1.0
77,0.23216407001018524,0.9171122908592224,0.1298723965883255,1.0
78,0.2090725600719452,0.9251337051391602,0.11540649086236954,1.0
79,0.22648820281028748,0.9171122908592224,0.11654394865036011,1.0
80,0.21089406311511993,0.9237967729568481,0.11459144204854965,1.0
81,0.20840492844581604,0.9278075098991394,0.11443517357110977,1.0
82,0.2053278535604477,0.9331550598144531,0.11924877017736435,1.0
83,0.2083602100610733,0.9258021116256714,0.12815873324871063,1.0
84,0.21068190038204193,0.9258021116256714,0.12952670454978943,1.0
85,0.19814948737621307,0.9318181872367859,0.10770618170499802,1.0
86,0.2202129065990448,0.9177807569503784,0.12811368703842163,0.9583333134651184
87,0.22649414837360382,0.9224599003791809,0.12449278682470322,0.9583333134651184
88,0.2067531794309616,0.9304812550544739,0.10647043585777283,1.0
89,0.20953689515590668,0.9231283664703369,0.12710577249526978,0.9583333134651184
90,0.1959964781999588,0.9358288645744324,0.1268639713525772,0.9166666865348816
91,0.2289721816778183,0.9157754182815552,0.10395624488592148,1.0
92,0.19702015817165375,0.9284759163856506,0.10377349704504013,1.0
93,0.2055307924747467,0.9211229681968689,0.10954830050468445,1.0
94,0.2116595208644867,0.9271390438079834,0.10167055577039719,1.0
95,0.19156581163406372,0.9251337051391602,0.12499654293060303,0.9583333134651184
96,0.20982356369495392,0.9204545617103577,0.10120341926813126,1.0
97,0.19361983239650726,0.9351603984832764,0.12829098105430603,0.9583333134651184
98,0.22001847624778748,0.9231283664703369,0.11928220838308334,1.0
99,0.19879189133644104,0.9291443824768066,0.10134562104940414,1.0
100,0.19218815863132477,0.9344919919967651,0.11965513229370117,0.9583333134651184
